run_tag,burstiness,rho_lane,rtl_loss,tlm_loss,label
marginal_b000_rho0720_f100_period4096,0.000000,0.022500,0.00000000,0.00000000,R/T 0.00/0.00% raw 0.72
marginal_b000_rho0750_f100_period4096,0.000000,0.023438,0.00135346,0.00132743,R/T 0.14/0.13% raw 0.75
marginal_b000_rho0800_f100_period4096,0.000000,0.025000,0.01742542,0.01715734,R/T 1.74/1.72% raw 0.80
marginal_b000_rho0900_f100_period4096,0.000000,0.028125,0.04204785,0.04224342,R/T 4.20/4.22% raw 0.90
marginal_b403_rho0750_f100_period4096,0.403000,0.023438,0.00210259,0.00207663,R/T 0.21/0.21% raw 0.75
marginal_b403_rho0800_f100_period4096,0.403000,0.025000,0.01351982,0.01354441,R/T 1.35/1.35% raw 0.80
marginal_b403_rho0850_f100_period4096,0.403000,0.026562,0.01842337,0.01853909,R/T 1.84/1.85% raw 0.85
marginal_b700_rho0700_f100_period4096,0.700000,0.021875,0.00047266,0.00050046,R/T 0.05/0.05% raw 0.70
marginal_b700_rho0750_f100_period4096,0.700000,0.023438,0.01181741,0.01181741,R/T 1.18/1.18% raw 0.75
marginal_b700_rho0850_f100_period4096,0.700000,0.026562,0.00807812,0.00807812,R/T 0.81/0.81% raw 0.85
marginal_b700_rho0900_f100_period4096,0.700000,0.028125,0.01833794,0.01870469,R/T 1.83/1.87% raw 0.90
marginal_b700_rho0950_f100_period4096,0.700000,0.029687,0.04854742,0.04474137,R/T 4.85/4.47% raw 0.95
